id,sku,http_status,ok,payload_keys,price_fields_written,error
3839,ISU-100D,200,True,description|meta_description|meta_title|short_description|specifications,none,
3837,ISQ-RM30,200,True,description|meta_description|meta_title|short_description|specifications,none,
3835,ISO-1000FN,200,True,description|meta_description|meta_title|short_description|specifications,none,
3834,ISH-STD,200,True,description|meta_description|meta_title|short_description|specifications,none,
3833,ISH-STAC,200,True,description|meta_description|meta_title|short_description|specifications,none,
3832,ISH-PHB,200,True,description|meta_description|meta_title|short_description|specifications,none,
3830,ISF-MT500,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3828,HDT-LP200,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3827,9561-70B,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3826,9561-50B,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3825,9501-1200,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3824,7600-6,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3823,7524-10,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
