sku,product_name,image_url,detail_url,confidence
1176-150,کولیس داخل دیجیتال 15سانت 9 - 150 — 15 سانت,https://www.tosag.ch/media/image/product/52253/lg/digital-messschieber-zur-messung-von-innennuten_1.jpg,https://www.tosag.ch/Digital-caliper-for-measuring-internal-grooves_1,very_high
1176-200,کولیس داخل دیجیتال 20سانت 9 - 200 — 20 سانت,https://www.tosag.ch/media/image/product/52253/lg/digital-messschieber-zur-messung-von-innennuten_1.jpg,https://www.tosag.ch/Digital-caliper-for-measuring-internal-grooves_1,very_high
1178-300,کولیس داخل دیجیتال 30سانت 25 - 300 — 30 سانت,https://www.tosag.ch/media/image/product/52254/lg/digital-messschieber-zur-messung-von-innennuten_2.jpg,https://www.tosag.ch/Digital-caliper-for-measuring-internal-grooves_2,very_high
1196-300,کولیس دیجیتال 30سانت — 30 سانت,https://www.tosag.ch/media/image/product/51952/lg/digital-messschieber-robuste-ausfuehrung.jpg,https://www.tosag.ch/Digital-caliper-robust-version,very_high
1208-511,کولیس 50سانت یک تکه فک 10سانت — 50 سانت,https://www.tosag.ch/media/image/product/51212/lg/analog-messschieber-schieblehre-stabile-ausfuehrung_5.jpg,https://www.tosag.ch/Analog-caliper-caliper-gauge-stable-design_4,very_high
1208-524,کولیس 50سانت یک تکه فک بلند 15سانت — 50 سانت,https://www.tosag.ch/media/image/product/51212/lg/analog-messschieber-schieblehre-stabile-ausfuehrung_5.jpg,https://www.tosag.ch/Analog-caliper-caliper-gauge-stable-design_4,very_high
1208-824,کولیس 80سانت یک تکه فک بلند 15سانت — 80 سانت,https://www.tosag.ch/media/image/product/51212/lg/analog-messschieber-schieblehre-stabile-ausfuehrung_5.jpg,https://www.tosag.ch/Analog-caliper-caliper-gauge-stable-design_4,very_high
1214-500,کولیس استن استیل معمولی 50سانت — 50 سانت,https://www.tosag.ch/media/image/product/51214/lg/analog-messschieber-schieblehre-stabile-ausfuehrung_7.jpg,https://www.tosag.ch/Analog-caliper-caliper-gauge-stable-design_6,very_high
1214-600,کولیس استن استیل معمولی 60سانت — 60 سانت,https://www.tosag.ch/media/image/product/51214/lg/analog-messschieber-schieblehre-stabile-ausfuehrung_7.jpg,https://www.tosag.ch/Analog-caliper-caliper-gauge-stable-design_6,very_high
1215-1032,کولیس معمولی 1متر فک بلند 20سانت — 1 متر,https://www.tosag.ch/media/image/product/63162/lg/messschieber-schieblehre-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Caliper-caliper-gauge-with-long-measuring-legs,very_high
1215-1052,کولیس معمولی 1متر فک بلند 30سانت — 1 متر,https://www.tosag.ch/media/image/product/63162/lg/messschieber-schieblehre-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Caliper-caliper-gauge-with-long-measuring-legs,very_high
1215-322,کولیس معمولی 30سانت فک بلند 15سانت — 30 سانت,https://www.tosag.ch/media/image/product/63162/lg/messschieber-schieblehre-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Caliper-caliper-gauge-with-long-measuring-legs,very_high
1215-392,کولیس معمولی 30سانت فک بلند 9سانت — 30 سانت,https://www.tosag.ch/media/image/product/63162/lg/messschieber-schieblehre-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Caliper-caliper-gauge-with-long-measuring-legs,very_high
1215-522,کولیس معمولی 50سانت فک بلند 15سانت — 50 سانت,https://www.tosag.ch/media/image/product/63162/lg/messschieber-schieblehre-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Caliper-caliper-gauge-with-long-measuring-legs,very_high
1215-532,کولیس معمولی 50سانت فک بلند 20سانت — 50 سانت,https://www.tosag.ch/media/image/product/63162/lg/messschieber-schieblehre-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Caliper-caliper-gauge-with-long-measuring-legs,very_high
1215-622,کولیس معمولی 60سانت فک بلند 15سانت — 60 سانت,https://www.tosag.ch/media/image/product/63162/lg/messschieber-schieblehre-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Caliper-caliper-gauge-with-long-measuring-legs,very_high
1215-822,کولیس معمولی 80سانت فک بلند 15سانت — 80 سانت,https://www.tosag.ch/media/image/product/63162/lg/messschieber-schieblehre-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Caliper-caliper-gauge-with-long-measuring-legs,very_high
