source_pages,extracted_candidate_row,raw_identity,normalized_identity,raw_price,price_unit,proposed_toman_price,confidence,rejected_reason,duplicate_status,manual_review_required,line
11,"GL 60 37,000,000",GL 60,,"37,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,1
11,"TG 1-10 21,160,000",TG 1-10,,"21,160,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,2
11,"! "" #$ 30 88,000,000","! "" #$ 30",,"88,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,3
11,"! "" #$ 10 52,000,000","! "" #$ 10",,"52,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,4
11,"' () ! "" #$ 10 53,000,000","' () ! "" #$ 10",,"53,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,5
11,"' () ! "" #$ 20 80,000,000","' () ! "" #$ 20",,"80,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,6
11,"* +, ! "" #$ 10 117,000,000","* +, ! "" #$ 10",,"117,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,7
11,"* +, ! "" #$ 30 146,000,000","* +, ! "" #$ 30",,"146,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,8
11,""" ./ 0.002 76,000,000",""" ./ 0.002",,"76,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,9
11,""" ./ 0.01 72,000,000",""" ./ 0.01",,"72,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,10
11,"1 !$ 2 3 1-13 1/2.20 51,520,000",1 !$ 2 3 1-13 1/2.20,,"51,520,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,11
11,"1 !$ 2 3 1-13b16 39,707,200",1 !$ 2 3 1-13b16,,"39,707,200",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,12
11,"1 !$ 2 3 1-16b18 47,398,400",1 !$ 2 3 1-16b18,,"47,398,400",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,13
11,"' $2 3 0.3-4jto 9,494,400",' $2 3 0.3-4jto,,"9,494,400",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,14
11,"' $2 3 1.5-10 3/8 5,336,000",' $2 3 1.5-10 3/8,,"5,336,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,15
11,"' $ 6 78 3 5-20b22 40,001,600",' $ 6 78 3 5-20b22,,"40,001,600",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,16
11,"GL 9 $ 6 $ :8 ; 150 54,000,000",GL 9 $ 6 $ :8 ; 150,,"54,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,17
11,"GL 9 $ 6 $ :8 ; 200 71,000,000",GL 9 $ 6 $ :8 ; 200,,"71,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,18
11,"GL 9 $ 6 $ :8 ; 300 111,000,000",GL 9 $ 6 $ :8 ; 300,,"111,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,19
11,"GL * + , :8 ; 150 75,000,000","GL * + , :8 ; 150",,"75,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,20
11,"GL * + , :8 ; 200 100,000,000","GL * + , :8 ; 200",,"100,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,21
