id,sku,catalog_code,confidence,match_rule,name,range,accuracy,resolution,series,pdf_page
3475,1214-1000,1214-1000,very_high,exact_code,کولیس اینسایز (Insize) 1 متری مدل 1000-1214,"0-1000mm/0-40""",±0.08mm,"0.02mm/0.001""",VERNIER CALIPERS (SEPARATE TYPE),51
3474,1106-1002,1106-1002,very_high,exact_code,کولیس دیجیتال اینسایز (Insize) 1 متری مدل 1002-1106,"0-1000mm/0-40""",±0.08mm,"0.01mm/0.0005""",DATA DIGITAL CALIPERS,47
3473,1205-3002,1205-3002S,very_high,unique_letter_suffix,کولیس اینسایز (Insize) 30 سانتی متر مدل 3002-1205,"0-300mm/0-12""",±0.03mm,"0.05mm/1/128""",VERNIER CALIPERS,43
3472,1205-2002,1205-2002S,very_high,unique_letter_suffix,کولیس اینسایز (Insize) 20 سانتی متر مدل 2002-1205,"0-200mm/0-8""",±0.03mm,"0.05mm/1/128""",VERNIER CALIPERS,43
3471,1111-75,1111-75A,very_high,unique_letter_suffix,کولیس دیجیتال اینسایز (Insize) 7.5 سانتی متر مدل 75-1111,"0-75mm/0-3""",±0.02mm,"0.01mm/0.0005""",MINI DIGITAL CALIPERS,42
3470,1205-1502,1205-1502S,very_high,unique_letter_suffix,کولیس اینسایز (Insize) 15 سانتی متر مدل 1502-1205,"0-150mm/0-6""",±0.03mm,"0.05mm/1/128""",VERNIER CALIPERS,43
2084,7114-950,7114-950,very_high,exact_code,سیرکومتر قطر لوله 20 - 300 — 0-950mm,150-950mm / Ø50-300mm,circumference ±3mm; diameter ±1mm,0.1mm,CAN BE CUSTOM-MADE,265
2081,7110-600,7110-600,very_high,exact_code,خط کش فلزی 60 سانتی اینسایز (Insize) مدل 600-7110,"600mm/24""",±0.50mm,"0.5mm, 1mm",FLEXIBLE RULERS,537
2080,7110-500,7110-500,very_high,exact_code,خط کش فلزی 50 سانتی اینسایز (Insize) مدل 500-7110,"500mm/20""",±0.40mm,"0.5mm, 1mm",FLEXIBLE RULERS,537
2079,7110-300,7110-300,very_high,exact_code,خط کش فلزی 30 سانتی اینسایز (Insize) مدل 300-7110,"300mm/12""",±0.27mm,"0.5mm, 1mm",FLEXIBLE RULERS,537
2078,7110-200,7110-200,very_high,exact_code,خط کش فلزی 20 سانتی اینسایز (Insize) مدل 200-7110,"200mm/8""",±0.18mm,"0.5mm, 1mm",FLEXIBLE RULERS,537
2077,7110-150,7110-150,very_high,exact_code,خط کش فلزی 15 سانتی اینسایز (Insize) مدل 150-7110,"150mm/6""",±0.18mm,"0.5mm, 1mm",FLEXIBLE RULERS,537
2016,4621-100,4621-100,very_high,exact_code,فیلر نواری 5 متری 1mm اینسایز (Insize) مدل 100-4621,1.00mm,±24µm,,FEELER GAUGE STOCKS,509
1950,3203-300,3203-300A,very_high,unique_letter_suffix,میکرومتر اینسایز (Insize) 300-275 میلی متر خارج سنج مدل 300-3203,275-300mm,±5μm,metric 0.01mm,OUTSIDE MICROMETERS,157
1949,3203-275,3203-275A,very_high,unique_letter_suffix,میکرومتر اینسایز (Insize) 275-250 میلی متر خارج سنج مدل 275-3203,250-275mm,±5μm,metric 0.01mm,OUTSIDE MICROMETERS,157
1948,3203-250,3203-250A,very_high,unique_letter_suffix,میکرومتر اینسایز (Insize) 250-225 میلی متر خارج سنج مدل 250-3203,225-250mm,±5μm,metric 0.01mm,OUTSIDE MICROMETERS,157
1947,3203-225,3203-225A,very_high,unique_letter_suffix,میکرومتر اینسایز (Insize) 225-200 میلی متر خارج سنج مدل 225-3203,200-225mm,±4μm,metric 0.01mm,OUTSIDE MICROMETERS,157
1946,3203-200,3203-200A,very_high,unique_letter_suffix,میکرومتر اینسایز (Insize) 200-175 میلی متر خارج سنج مدل 200-3203,175-200mm,±4μm,metric 0.01mm,OUTSIDE MICROMETERS,157
