product_id,sku,brand,category,active_block,availability_block,price_block,image_block,other_block,block_count
2612,752,ASTPOWER | ای اس تی پاور,انواع کولیس,True,True,True,True,False,4
2613,754,Chumpower | چام‌پاور,انواع کولیس,True,True,True,True,False,4
2614,756,ASIMETO | آسیمتو,انواع کولیس,True,True,True,True,False,4
2615,758,ASIMETO | آسیمتو,زبری سنج,True,True,True,True,False,4
2616,760,ASIMETO | آسیمتو,انواع کولیس,True,True,True,True,False,4
2617,762,ASIMETO | آسیمتو,انواع کولیس,True,True,True,True,False,4
2618,764,ASIMETO | آسیمتو,انواع کولیس,True,True,True,True,False,4
2619,770,ASIMETO | آسیمتو,قطعات یدکی,True,True,True,True,False,4
2620,772,ASIMETO | آسیمتو,قطعات یدکی,True,True,True,True,False,4
2621,775,ASIMETO | آسیمتو,انواع میکرومتر,True,True,True,True,False,4
2622,777,ASIMETO | آسیمتو,انواع کولیس,True,True,True,True,False,4
2623,779,ASIMETO | آسیمتو,قطعات یدکی,True,True,True,True,False,4
2624,781,ASIMETO | آسیمتو,قطعات یدکی,True,True,True,True,False,4
2625,783,ASIMETO | آسیمتو,انواع کولیس,True,True,True,True,False,4
2626,835,Winstar | وینستار,برقو,True,True,True,True,False,4
2627,837,Winstar | وینستار,برقو,True,True,True,True,False,4
2628,839,Groz | گروز,کولت BT و فشنگی و آچار,True,True,True,True,False,4
2629,841,Groz | گروز,کولت BT و فشنگی و آچار,True,True,True,True,False,4
2630,843,ZPS | زد پی‌اس,برقو,True,True,True,True,False,4
2631,VN10010,ZPS | زد پی‌اس,برقو,True,True,True,True,False,4
2632,VN10085-3,ZPS | زد پی‌اس,برقو,True,True,True,True,False,4
2633,VN10085-2,ZPS | زد پی‌اس,برقو,True,True,True,True,False,4
2634,VN10085,ZPS | زد پی‌اس,برقو,True,True,True,True,False,4
2635,904,Groz | گروز,حدیده,True,True,True,True,False,4
2636,906,[NO BRAND],حدیده,True,True,True,True,False,4
2637,908,[NO BRAND],حدیده,True,True,True,True,False,4
2638,910,[NO BRAND],حدیده,True,True,True,True,False,4
2639,912,Groz | گروز,حدیده,True,True,True,True,False,4
