product_id,sku,name,brand_id,brand,category_id,category,is_active,is_available,stock_quantity,base_price,original_price,is_priced,image_count,has_real_image,media_materialized,api_visible,storefront_visible,sellable,purchase_eligible,legacy_spec_present,legacy_spec_key_count,product_type_id,product_type,kb_fact_count,kb_asserted_count,kb_unresolved_count,kb_conflict_count,kb_evidence_backed_count,required_definition_count,required_fact_present_count,required_fact_evidenced_count,required_fact_missing_count,technical_maturity_bucket,description_present,short_description_present,commercial_blockers,technical_blockers,deleted_at
2966,2445,فرز انگشتی تمام الماس چهارپر نوک کروی بلند سری G-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2967,2447,فرز انگشتی تمام الماس چهار خشن سری G-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2968,2449,فرز انگشتی تمام الماس دوپر سری M-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2969,2451,فرز انگشتی تمام الماس چهارپر سری M-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2970,2453,فرز انگشتی تمام الماس چهارپر سری H-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2971,2455,فرز انگشتی تمام الماس شش پر سری H-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2972,2458,فرز انگشتی تمام الماس دوپر سری Al-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2973,2460,فرز انگشتی تمام الماس سه پر سری Al-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2974,2462,فرز انگشتی تمام الماس چهار خشن بلند سری G-Star وینستار تایوان,32,Winstar | وینستار,47,برقو,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2975,2862,فرز فرم استوانه,,[NO BRAND],40,انگشتی فرم کارباید,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
